Number,Author name,Book Title,Average Rating,Ratings,Score,Votes,Book Link,Publication Date,Number of Pages,Rating Category
84,Fyodor Dostoevsky,The Brothers Karamazov,4.38,354207.0,363229,3993,https://www.goodreads.com/book/show/4934.The_Brothers_Karamazov,"January 1, 1880",796,High
85,Agatha Christie,And Then There Were None,4.28,1479611.0,355147,3897,https://www.goodreads.com/book/show/16299.And_Then_There_Were_None,"November 6, 1939",264,High
86,Betty  Smith,A Tree Grows in Brooklyn,4.3,486037.0,346579,3808,https://www.goodreads.com/book/show/14891.A_Tree_Grows_in_Brooklyn,"August 18, 1943",496,High
87,Anthony Burgess,A Clockwork Orange,4.0,740078.0,343943,3868,https://www.goodreads.com/book/show/41817486-a-clockwork-orange,"January 1, 1962",240,Medium
88,Cormac McCarthy,The Road,3.99,965398.0,338274,3711,https://www.goodreads.com/book/show/6288.The_Road,"September 26, 2006",241,Medium
89,Harper Lee,To Kill a Mockingbird,4.26,6510108.0,336330,3635,https://www.goodreads.com/book/show/2654.To_Kill_a_Mockingbird,"July 11, 1960",323,High
90,Stephen        King,It,4.24,1192027.0,323713,3483,https://www.goodreads.com/book/show/830502.It,"September 15, 1986",1116,High
91,Stephen        King,"The Shining (The Shining, #1)",4.28,1600545.0,321430,3545,https://www.goodreads.com/book/show/11588.The_Shining,"January 28, 1977",497,High
92,Philip Pullman,"The Golden Compass (His Dark Materials, #1)",4.03,1572845.0,320554,3563,https://www.goodreads.com/book/show/119322.The_Golden_Compass,"July 1, 1995",399,High
93,Richelle Mead,"Vampire Academy (Vampire Academy, #1)",4.11,665011.0,314333,3377,https://www.goodreads.com/book/show/345627.Vampire_Academy,"August 16, 2007",332,High
94,Hermann Hesse,Siddhartha,4.07,819584.0,313533,3491,https://www.goodreads.com/book/show/52036.Siddhartha,"October 1, 1922",152,High
95,Edgar Allan Poe,The Complete Stories and Poems,4.4,285981.0,308312,3481,https://www.goodreads.com/book/show/23919.The_Complete_Stories_and_Poems,"November 1, 1849",821,High
96,Frank McCourt,"Angela’s Ashes (Frank McCourt, #1)",4.15,643810.0,306736,3425,https://www.goodreads.com/book/show/252577.Angela_s_Ashes,"September 5, 1996",452,High
97,Anne Rice,"Interview with the Vampire (The Vampire Chronicles, #1)",4.02,620460.0,304198,3395,https://www.goodreads.com/book/show/43763.Interview_with_the_Vampire,"April 12, 1976",346,High
98,Miguel de Cervantes Saavedra,Don Quixote,3.9,287698.0,300558,3405,https://www.goodreads.com/book/show/3836.Don_Quixote,"January 1, 1605",1023,Medium
99,Ernest Hemingway,The Old Man and the Sea,3.81,1226062.0,297572,3409,https://www.goodreads.com/book/show/2165.The_Old_Man_and_the_Sea,"September 1, 1952",96,Medium
100,Barbara Kingsolver,The Poisonwood Bible,4.1,766734.0,291742,3206,https://www.goodreads.com/book/show/7244.The_Poisonwood_Bible,"September 24, 1998",546,High
